,x
1,breast
2,breast
3,breast
4,breast
5,breast
6,breast
7,breast
8,breast
9,breast
10,breast
11,breast
12,breast
13,breast
14,breast
15,breast
16,breast
17,breast
18,breast
19,breast
20,breast
21,breast
22,breast
23,breast
24,breast
25,breast
26,breast
27,breast
28,breast
29,breast
30,breast
31,breast
32,breast
33,breast
34,breast
35,breast
36,breast
37,breast
38,breast
39,breast
40,breast
41,breast
42,breast
43,breast
44,breast
45,breast
46,breast
47,breast
48,breast
49,breast
50,breast
51,breast
52,breast
53,breast
54,breast
55,breast
56,breast
57,breast
58,breast
59,breast
60,breast
61,breast
62,breast
63,colon
64,colon
65,colon
66,colon
67,colon
68,colon
69,colon
70,colon
71,colon
72,colon
73,colon
74,colon
75,colon
76,colon
77,colon
78,colon
79,colon
80,colon
81,colon
82,colon
83,colon
84,colon
85,colon
86,colon
87,colon
88,colon
89,colon
90,colon
91,colon
92,colon
93,colon
94,colon
95,colon
96,colon
97,colon
98,colon
99,colon
100,colon
101,colon
102,colon
103,colon
104,colon
