,x
1,other
2,other
3,other
4,other
5,other
6,other
7,other
8,other
9,blood
10,blood
11,blood
12,blood
13,blood
14,other
15,other
16,other
17,other
18,other
19,other
20,other
21,other
22,other
23,other
24,other
25,other
26,other
27,other
28,other
29,other
30,other
31,other
32,other
33,other
34,other
35,other
36,other
37,other
38,other
39,other
40,other
41,other
42,other
43,other
44,other
45,other
46,other
47,other
48,other
49,other
50,blood
51,other
52,other
53,other
54,other
55,other
56,other
57,other
58,other
59,blood
60,blood
61,blood
62,blood
63,blood
64,blood
65,blood
66,blood
67,blood
68,blood
69,blood
70,blood
71,blood
72,blood
73,blood
74,blood
75,blood
76,blood
77,blood
78,blood
79,blood
80,blood
81,other
82,blood
83,blood
84,blood
85,blood
86,blood
87,blood
88,blood
89,other
90,other
91,other
92,other
93,other
94,other
95,other
96,other
97,other
98,other
99,other
100,other
101,other
102,other
103,other
104,other
105,other
106,other
107,other
108,other
109,other
110,other
111,other
112,other
113,other
114,other
115,other
116,other
117,other
118,other
119,other
120,other
121,other
122,other
123,other
124,other
125,other
126,other
127,placenta
128,placenta
129,placenta
130,placenta
131,placenta
132,placenta
133,placenta
134,placenta
135,placenta
136,placenta
137,placenta
138,placenta
139,placenta
140,placenta
141,placenta
142,placenta
143,placenta
144,placenta
145,placenta
146,other
147,other
148,other
149,other
150,other
151,other
152,other
153,other
154,other
155,other
156,other
157,other
158,other
159,other
160,other
161,other
162,other
163,other
164,other
165,other
166,other
167,other
168,blood
169,blood
170,blood
171,blood
172,blood
173,blood
174,blood
175,blood
176,blood
177,blood
178,blood
179,blood
180,blood
181,blood
182,blood
183,blood
184,blood
185,blood
186,blood
187,blood
188,blood
189,blood
190,blood
191,blood
192,blood
193,blood
194,blood
195,blood
196,blood
197,blood
198,blood
199,blood
200,blood
201,blood
202,blood
203,blood
204,blood
205,blood
206,blood
207,blood
208,blood
209,blood
210,blood
211,blood
212,blood
213,blood
214,blood
215,blood
216,blood
217,blood
