,x
1,negative
2,positive
3,positive
4,negative
5,positive
6,positive
7,negative
8,negative
9,positive
10,negative
11,negative
12,positive
13,negative
14,positive
15,positive
16,positive
17,negative
18,positive
19,negative
20,positive
21,positive
22,negative
23,negative
24,negative
25,negative
26,positive
27,positive
28,positive
29,positive
30,negative
31,positive
32,negative
33,positive
34,negative
35,negative
36,positive
37,negative
38,positive
39,positive
40,positive
41,negative
42,negative
43,positive
44,positive
45,positive
46,negative
47,positive
48,negative
49,positive
50,positive
51,positive
52,positive
53,positive
54,negative
55,positive
56,positive
57,positive
58,positive
59,negative
60,positive
61,negative
62,negative
63,positive
64,positive
65,positive
66,positive
67,positive
68,positive
69,positive
70,negative
71,positive
72,positive
73,positive
74,negative
75,positive
76,positive
77,negative
78,negative
79,positive
80,positive
81,negative
82,negative
83,negative
84,positive
85,positive
86,negative
87,positive
88,positive
89,positive
90,positive
91,positive
92,positive
93,positive
94,negative
95,negative
96,positive
97,positive
98,positive
99,positive
100,positive
101,positive
102,positive
103,negative
104,positive
105,positive
106,negative
107,positive
108,negative
109,positive
110,negative
111,positive
112,positive
113,negative
114,negative
115,positive
116,positive
117,positive
118,negative
