,x
1,negative
2,negative
3,negative
4,negative
5,negative
6,negative
7,positive
8,positive
9,positive
10,positive
11,positive
12,positive
13,negative
14,negative
15,negative
16,negative
17,negative
18,negative
19,negative
20,positive
21,positive
22,positive
23,positive
24,positive
25,positive
26,negative
27,positive
28,negative
29,negative
30,negative
31,negative
32,positive
33,positive
34,positive
35,positive
36,negative
37,negative
38,negative
39,positive
40,positive
41,positive
42,positive
43,positive
44,negative
45,negative
46,negative
47,positive
48,positive
49,negative
